Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Managing Stress for Positive Change,"In the workplace, stress is often viewed in purely negative terms. It's seen as a response that should simply be minimized or pushed aside; however, it's possible to use stress to fuel positive change. In this course, join instructor Heidi Hanna, PhD as she discusses what stress is, exactly; how you can train yourself to use stress in more effective ways; and what managers can do to reduce employee stress when an organization experiences difficult times. She covers how individuals can use stress for good by assessing and adjusting it, as well as what you-as a manager-can do to create an environment and communication style that helps connect employees to the bigger picture.",Course,2018-12-03 13:41 UTC,N/A,false,N/A,
D3.js Essential Training for Data Scientists,"Take your visualizations beyond boring charts. D3.js enables you to create spatial maps, tree diagrams, stack charts, and more, all with a web browser and a few lines of code. There's something for everyone in data science: statisticians, scientists, mathematicians, and analysts. <em>D3.js Essential Training for Data Scientists</em> unlocks the keys to this versatile approach. Follow along with data consultant Emma Saunders as she shows how to build beautiful and interactive data visualizations with D3.<br><br>

Start off with a review of HTML, CSS, and JavaScript—some basic coding skills you need to use the D3 library. Then learn how to make a simple bar chart and create basic shapes and text. Emma also introduces the path function and the power of generators for drawing more complex shapes. Then find out how to pull in JSON, XML, and CSV files to create more complex graphics such as tree and Voronoi diagrams, and manipulate your data for advanced graphics using map, stack, and nest functions. The course wraps up with tips for adding interactivity and picking the right graphic for your data.",Course,2018-10-13 04:50 UTC,N/A,false,N/A,
Mathematica 11 Machine Learning,"Learn how to analyze data using the machine learning capabilities built into Mathematica 11. In this course, Curt Frye provides an overview of machine learning tasks, explains how to separate training data from test data, and shows how to import data from a file. He also demonstrates how to prepare data for machine learning, including how to replace values near zero with zero and sort elements using a rule. Curt also covers determining functions that generate data and performing supervised machine learning tasks.",Course,2018-10-19 06:17 UTC,N/A,false,N/A,
Visualizing Geospatial Data with Power Map in Excel,"Take your data analysis skills (and your data visualizations) to the next level with Power Map, Excel's tool for exploring map and time-based data in 3D. This course takes the project you created in <em>Excel Workshop: Building a Dynamic Heat Map</em> and shows how to reconstruct the visualization using Power Map. First you'll learn how to prepare and standardize your data, using IF and CONCATENATE to combine fields. Then find out how to add a PivotTable to create a new or supplementary data source. Then you will get right down to it and build a Power Map image to visualize geospatial data: accidents in different seasons and locations. In the final chapters, author Chris Dutton provides two options for linking data to the map images, using the INDIRECT and HYPERLINK functions.",Course,2019-01-29 10:03 UTC,N/A,false,N/A,
Introduction to AWS DeepLens,"AWS DeepLens is the world's first deep learning-enabled video camera for developers. In this hands-on course, instructor Jonathan Fernandes helps you get started with this exciting new tool. Jonathan kicks off the course by acquainting you with how DeepLens works, how to set it up, and how to troubleshoot common issues. Next, he guides you through a variety of projects available with DeepLens, including ones dealing with object recognition. To wrap up, Jonathan  provides an overview of future projects you can consider.",Course,2018-10-25 06:54 UTC,N/A,false,N/A,
Twelve Myths About Data Science,"In this course, Ben Sullins debunks 12 common misconceptions within the field of data science. Busy engineers, data miners, programmers, and other systems specialists who want to bolster their skills can benefit from Ben's succinct, practical insights. Separate data science fact from fiction, and learn what big data actually is, and why—contrary to what media coverage often suggests—it's not a singular thing. Ben also explains why big data can't instantly yield great insights, how to make analytics clearer, when to replace your relational databases, and more.",Course,2019-02-24 14:06 UTC,N/A,false,N/A,
Building Recommender Systems with Machine Learning and AI,"Automated recommendations are everywhere: Netflix, Amazon, YouTube, and more. Recommender systems learn about your unique interests and show the products or content they think you’ll like best. Discover how to build your own recommender systems from one of the pioneers in the field. Frank Kane spent over nine years at Amazon, where he led the development of many of the company’s personalized product recommendation technologies. In this course, he covers recommendation algorithms based on neighborhood-based collaborative filtering and more modern techniques, including matrix factorization and even deep learning with artificial neural networks. Along the way, you can learn from Frank's extensive industry experience and understand the real-world challenges of applying these algorithms at a large scale with real-world data. You can also go hands-on, developing your own framework to test algorithms and building your own neural networks using technologies like Amazon DSSTNE, AWS SageMaker, and TensorFlow.",Course,2019-05-12 02:00 UTC,N/A,false,N/A,
Douglas Kirkland on Photography: Natural Light Portraiture,"In the <em>Douglas Kirkland on Photography</em> series, well-known photographer Douglas Kirkland explores a variety of real-world photographic scenarios, sharing technique insights and critiquing the results.<br><br>In this installment of the series, Douglas explains how he works with natural light to create beautiful portraits. He shows how to make subtle changes to the light to improve its qualities and make the most of the environment he's working in.  He reviews the images he considers the best of the day and also shows examples of how he uses Photoshop to complete his workflow and finish the images.",Course,2019-07-09 09:30 UTC,N/A,false,N/A,
Machine Learning and AI Foundations: Recommendations,"This project-based course shows programmers of all skill levels how to use machine learning to build programs that can make recommendations. In this course, Adam Geitgey walks you through a hands-on lab building a recommendation system that is able to suggest similar products to customers based on past products they have reviewed or purchased. The system can also identify which products are similar to each other.
<br><br>
Recommendation systems are a key part of almost every modern consumer website. The systems help drive customer interaction and sales by helping customers discover products and services they might not ever find themselves. The course uses the free, open source tools Python 3.5, pandas, and numpy. By the end of the course, you'll be equipped to use machine learning yourself to solve recommendation problems. What you learn can then be directly applied to your own projects.",Course,2018-11-16 03:15 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5008052,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5008052,Course,2018-11-29 03:48 UTC,N/A,false,N/A,
