Title,Description,Url,Started On,Finished On
A Improved Artificial fish Swarming Optimization for Economic Load Dispatch with Dynamic Constraints,Nature Inspired algorithms have been so far proved as some of the best problem solvers. The Artificial Fish Schooling Algorithm (AFSA) which falls under this category has been deployed to solve the classic Economic Load Dispatch problem. A modified implementation has been illustrated in this paper to enhance the precision and speed of the algorithm.,,Mar 2012,
A Linear Generator design for Energy Harvesting from Gyms,"Energy harvesting from gyms is not new to this world but all existing mechanisms have very limited scope. Today’s equipment can harness energy only from a very few exercises  like cycling which has a rotatory motion involved in them. But most of the exercises are linearly moving exercises. Hence , we are working on modeling the linear generator for this particular purpose. The application itself has many challenges including dimensions, power output, cost constraints",,Mar 2014,Jul 2014
EFFICIENCY IMPROVEMENT OF SOLAR PV PANELS USING ACTIVE COOLING,"Solar radiation reaching the earth is plentiful and can be harnessed to provide electricity through Photo voltaic (PV) panels. The solar PV is an exciting technology but suffers from low efficiency. A study on low efficiency in a multi MW solar power plants reveals that the electric yield of the PV modules are reduced due to reflection of the irradiation from the sun and also when a module’s temperature is elevated, there is decrease in the voltage and efficiency. We intend to improve the efficiency of the Solar Photo Voltaic Panels by active cooling to reduce the temperature losses as it reduces the temperature losses considerably and decrease reflection losses to some extent. We deploy natural resources at the plant to cool the panels which further results in efficient operation.",,Jan 2015,
A NEW PIEZOELECTRIC MOTOR DESIGN UTILIZING ELECTRIC AND MAGNETIC FIELDS,"Ultrasonic motors are special motors with unique characteristics with applications in wide areas including MEMS, medical equipments, etc. The present day ultrasonic motors work on the principle of inverse piezoelectric effect and convert the mechanical vibrations in piezo crystals into smooth rotation of rotor. In this paper we propose a running principle of motor with external magnetic and electric fields which unveil a paradigm shift in ultrasonic motor evolution. The proposed model is proved to deliver high efficiency than existing ones. The operating principle, brief circuitry required and analysis have proposed. With this new model piezoelectric motors will find diverse applications in wide variety of fields.",,Jan 2012,
Deception Detection of Reviews,Sentiment analysis has become too main stream. The new problem for ecommerce is deceptive reviews. A company/person trying to post deceptive negative review on a market place for his competitior to gain advanatage or the same company itself finding workarounds and posting fake positive reviews to boost their sales.  This is a challenging problem in NLP and we obtained a dataset containing 800 review each for 20 hotels in chicago area posted on Trip advisor and Booking.com . The deceptive set contains of human written fake reviews both complimenting and dispproving the services. The challenge was to identify deception and I built a model which did it with 85% accuracy. ,,Sep 2016,Nov 2016
Next Basket Recommendation engine for E- grocery store,"How cool do you feel when you no longer need to maintain groceries list? I built a recommendation engine for online groceries store which gives a customer, a list of products they might need every time they return. Spent close to three months researching various state of art techniques and building our custom algorithm.  Data: Three publicly available groceries store data Models used: TBP and its variants, LGBM and Variants, FP Growth ",,May 2017,Nov 2017
Invoice Delays Prediction,"Problem : Client is experiencing significant delays in invoices processing Solution Proposed :  Three key factors contributing to delay identified out of 120 factors  Delivered a model which predicts likelihood of every incoming invoice  A simulation showing % reduction of delays by varying key factors Business Impact : 30% delays could be avoided by three key action items provided Techniques: Logistic Regression, Random Forests, GBM, Apriori Language : Python",,Nov 2017,Feb 2018
Prediction of Customer Churn in Subscription based services,Customer Pain point : Client (E-commerce giant) is facing major challenges with the churn of customers  Solution Proposed: Extensive data analysis conducted and proposed key indices for identifying churn and model to predict probable churn customers.,,Apr 2018,May 2018
Automatic Classification of Clinical Text Tickets,Problem: Client is a major health care provider in Australia receiving thousands of calls which are classified by call centre executives. Misclassification is a major issue which delays ticket resolving rate.  Solution Proposed: Proposed a model which automatically classifies the ticket based on text analysis and other parameters. The major challenge addressed was wrong spellings entered by executives.,,Jul 2016,Sep 2016
Predicting Heartwarming articles for The Positive India (NLP),"The Positive India is news portal focused on writing about unsung heroes, heartwarming stories and community development initiatives with an intent to become a platform for sharing every common man’s positive effort and to propagate positive things happening in our society and thereby making more happen. Being an independently run website with no ground force journalist network around the country pose a challenge in identifying potential leads and exploring the subject in depth. There is a serious need to automate the lead identification, such that content generation gets more powerful, streamlined and simple.  To tackle this specific problem, we came up with an idea of incorporating AI based models to scan the world wide web, identify the topic, subset the leads based on “The Positive India” vision and predict the Heartwarming or relevant stories.  Once this solution is fully implemented, content writers get to handpick relevant articles based on highest relevance score or a potential lead suggested by the system and take it to the next step of manual analysis of the article and penning content through our eyes. ",,Feb 2019,
Predicting similarity of queries,Client facing multiple queries in different forms which has same solution. Proposed a model to identify similarity of queries.,,Dec 2018,Feb 2019
Misclassification Identification using NLP in product catalogs of E Commerce giant,,,Feb 2017,May 2017
Forecasting and Optimisation for Solar PV Plant,"Problem : Client owns a solar PV Plant and aims at improving efficiency  Solution Proposed :      From past data at site and historical solar irradiation data, trained a neural network to forecast the power generation day wise     High temperature, dust at client‟s location is impacting efficiency. Proposed a optimized water cooling solution to bring down temperature losses  Business Impact: 1.2% rise in efficiency which is very significant for solar PV Plants Language : Matlab Neural Network Library",,May 2015,May 2016
